index,name,造成伤害,承受伤害,造成治疗,收到治疗,有效护盾,击杀数,位置,胜利,描述,时间戳
11,guerra,428,688,108,108,0,0,0,true,mate,2026-01-01 01:31:08
7,Bosque,588,1050,670,670,0,0,1,true,mate,2026-01-01 01:31:08
6,capitan,315,630,0,0,0,0,2,true,mate,2026-01-01 01:31:08
5,spider,932,460,0,0,0,2,3,true,mate,2026-01-01 01:31:08
12,arqureo,1289,405,0,0,0,2,4,true,mate,2026-01-01 01:31:08
8,ghost,632,500,0,0,0,5,5,true,mate,2026-01-01 01:31:08
13,toad,288,798,0,0,218,0,0,false,enemy,2026-01-01 01:31:08
3,vampiro,450,832,238,238,74,0,1,false,enemy,2026-01-01 01:31:08
4,monje,409,626,0,0,66,0,2,false,enemy,2026-01-01 01:31:08
14,queen,495,648,0,0,148,0,3,false,enemy,2026-01-01 01:31:08
2,sniper,624,622,0,0,122,2,4,false,enemy,2026-01-01 01:31:08
10,magia,1467,502,0,0,22,2,5,false,enemy,2026-01-01 01:31:08

6,capitan,315,630,0,0,0,0,0,false,mate,2026-01-01 01:31:08
13,toad,432,702,0,0,146,0,1,false,mate,2026-01-01 01:31:08
9,pantano,554,1106,476,476,170,1,2,false,mate,2026-01-01 01:31:08
8,ghost,633,550,0,0,50,1,3,false,mate,2026-01-01 01:31:08
14,queen,450,574,0,0,74,0,4,false,mate,2026-01-01 01:31:08
2,sniper,1003,550,0,0,50,3,5,false,mate,2026-01-01 01:31:08
11,guerra,525,769,114,189,0,0,0,true,enemy,2026-01-01 01:31:08
4,monje,383,670,0,30,80,0,1,true,enemy,2026-01-01 01:31:08
3,vampiro,675,997,342,477,0,0,2,true,enemy,2026-01-01 01:31:08
5,spider,892,66,0,60,0,3,3,true,enemy,2026-01-01 01:31:08
10,magia,1181,502,0,30,0,1,4,true,enemy,2026-01-01 01:31:08
1,sonida,609,337,435,105,0,1,5,true,enemy,2026-01-01 01:31:08

11,guerra,493,740,110,110,50,0,0,true,mate,2026-01-01 01:31:09
9,pantano,377,907,362,362,50,0,1,true,mate,2026-01-01 01:31:09
4,monje,399,640,0,0,90,0,2,true,mate,2026-01-01 01:31:09
5,spider,1178,350,0,0,22,3,3,true,mate,2026-01-01 01:31:09
